,TRIAL,STx,Nrate,GY,Y0,Ymax,NR,NRr,NAE
306,1093,loam,34,10.88,8.57,12.42,2.3100000000000005,26.95449241540257,67.941
307,1093,loam,67,12.2,8.57,12.42,3.629999999999999,42.3570595099183,54.179
308,1093,loam,134,12.42,8.57,12.42,3.8499999999999996,44.92415402567094,28.731
310,1095,loam,34,12.23,11.93,13.58,0.3000000000000007,2.514668901927919,8.824
311,1095,loam,67,13.0,11.93,13.58,1.0700000000000003,8.968985750209558,15.97
312,1095,loam,134,13.58,11.93,13.58,1.6500000000000004,13.830678960603523,12.313
314,1097,loam,34,5.44,4.35,6.67,1.0900000000000007,25.057471264367837,32.059
315,1097,loam,67,6.67,4.35,6.67,2.3200000000000003,53.33333333333334,34.627
316,1097,loam,134,6.54,4.35,6.67,2.1900000000000004,50.34482758620691,16.343
318,1102,silt loam,50,4.0169999999999995,2.134,5.084,1.8829999999999996,88.23805060918461,37.66
319,1102,silt loam,100,4.143,2.134,5.084,2.009,94.14245548266167,20.09
320,1102,silt loam,150,5.084,2.134,5.084,2.9499999999999997,138.23805060918463,19.667
322,1104,loam,50,12.467,9.934,14.562999999999999,2.5330000000000013,25.498288705456023,50.66
323,1104,loam,100,13.638,9.934,14.562999999999999,3.7040000000000006,37.286088182001215,37.04
324,1104,loam,150,14.265999999999998,9.934,14.562999999999999,4.331999999999999,43.607811556271386,28.88
325,1104,loam,200,13.724,9.934,14.562999999999999,3.790000000000001,38.15180189249045,18.95
326,1104,loam,250,14.562999999999999,9.934,14.562999999999999,4.629,46.59754378900745,18.516
328,1107,clay loam,50,6.647,5.11,13.706,1.537,30.078277886497062,30.74
329,1107,clay loam,100,11.274000000000001,5.11,13.706,6.164000000000001,120.62622309197653,61.64
330,1107,clay loam,150,12.113,5.11,13.706,7.002999999999999,137.04500978473578,46.687
331,1107,clay loam,200,13.093,5.11,13.706,7.983,156.22309197651663,39.915
332,1107,clay loam,250,13.706,5.11,13.706,8.596,168.21917808219177,34.384
334,1110,clay,50,6.3260000000000005,5.955,9.996,0.37100000000000044,6.230058774139386,7.42
335,1110,clay,100,9.061,5.955,9.996,3.106,52.157850545759864,31.06
336,1110,clay,150,9.725,5.955,9.996,3.7699999999999996,63.30814441645675,25.133
337,1110,clay,200,9.996,5.955,9.996,4.041,67.85894206549119,20.205
338,1110,clay,250,9.933,5.955,9.996,3.9779999999999998,66.80100755667506,15.912
340,1112,clay loam,50,9.919,5.757000000000001,10.767999999999999,4.162,72.29459788084071,83.24
341,1112,clay loam,100,10.193999999999999,5.757000000000001,10.767999999999999,4.4369999999999985,77.07139134966124,44.37
342,1112,clay loam,150,10.767999999999999,5.757000000000001,10.767999999999999,5.010999999999998,87.0418620809449,33.407
343,1112,clay loam,200,10.607000000000001,5.757000000000001,10.767999999999999,4.8500000000000005,84.24526663192636,24.25
345,1114,loam,50,2.4459999999999997,1.037,8.342,1.4089999999999998,135.87270973963354,28.18
